Tumor_Sample_Barcode	APOBECtCa_enrich	BH_Fisher_p-value_tCa	tCa_to_G+tCa_to_T	tCa_MutLoad_MinEstimate	APOBECrtCa_enrich	APOBECytCa_enrich	APOBECytCa_enrich-APOBECrtCa_enrich	rtCa_to_G+rtCa_to_T	ytCa_to_G+ytCa_to_T	ntca+tgan	rtca+tgay	ytca+tgar	ytCa_rtCa_Fisher_p-value	ytCa_rtCa_BH_Fisher_p-value	APOBEC_tCa_enrich_quartile	A3A_or_A3B
SP117425	3.34793615897061	0	3107	2179	2.96174490372069	3.73281840576993	0.77107350204924	1054	2053	22507	8842	13665	3.29251164621111e-11	4.28026514007444e-10	4	A3A
SP117332	2.65522874943895	1.96098423504163e-83	483	301	2.31803628548581	2.98022852633798	0.66219224085217	161	322	5239	2050	3189	0.00612826048861706	0.011381055193146	3	A3A
SP117655	1.85971294433246	2.88976162291464e-95	1246	576	2.27556428119997	1.64580180422678	-0.62976247697319	614	632	22286	9197	13089	5.05262558866967e-09	3.28420663263529e-08	3	A3B
SP99293	1.52775839923171	5.70594537863683e-19	468	162	2.01043537854276	1.25821982766636	-0.7522155508764	248	220	13030	5390	7640	2.81543436046306e-07	1.01458154807784e-06	2	A3B
SP99329	1.38444991671803	2.38739379840838e-12	485	135	1.6805688332993	1.24447232722819	-0.43609650607111	230	255	14781	5919	8862	0.000815072123367032	0.00176598960062857	2	A3B
SP99309	1.21832921601738	0.00160868551068277	271	49	1.57301057932066	1.03504913058939	-0.53796144873127	139	132	8583	3513	5070	0.000534263393512543	0.00138908482313261	1	A3B
SP117930	1.1267704681364	0.0075020182626926	523	59	1.46661816997723	0.942841414882307	-0.523776755094923	270	253	18717	7616	11101	3.12178937870104e-07	1.01458154807784e-06	1	A3B
SP117621	2.09127793630617	1.67255638997558e-148	1441	752	2.18557687346646	2.12392466452312	-0.06165220894334	592	849	19296	7794	11502	0.576910054766121	0.627545803907019	ND	ND
SP117775	2.05080690714806	2.23597737116985e-128	1303	668	2.09272471912434	2.1136563547131	0.0209316355887599	511	792	18558	7322	11236	0.860086377265093	0.860086377265093	ND	ND
SP99213	1.69331081734299	2.05748279364694e-23	397	163	1.57301389597527	1.83376911000657	0.2607552140313	138	259	8143	3120	5023	0.13864550551592	0.200265730189662	ND	ND
SP117759	1.57660403380529	1.16133751644135e-42	982	359	1.71100454431725	1.55190490149119	-0.15909964282606	425	557	19408	7938	11470	0.125463823438945	0.200265730189662	ND	ND
SP117031	1.55153201744619	4.95174153430415e-29	702	250	1.63588525334388	1.56411735916662	-0.0717678941772599	291	411	14598	5893	8705	0.55443432614623	0.627545803907019	ND	ND
SP117627	1.46884019492206	1.5466471638501e-14	432	138	1.45427148577261	1.53814917939505	0.0838776936224399	166	266	8619	3427	5192	0.579273049760325	0.627545803907019	ND	ND
SP99313	1.09723276704944	0.192947395228286	228	0	1.41717176753824	0.93505013624358	-0.48212163129466	113	115	11713	4607	7106	NA	NA	NA	NA
SP99345	1.08809263673409	0.441627903961528	107	0	1.32703243140577	0.977055123739431	-0.349977307666339	51	56	5618	2255	3363	NA	NA	NA	NA
SP99297	1.06869255948634	0.636501092625252	59	0	1.23630504833512	1.00266617390845	-0.23363887442667	26	33	2388	931	1457	NA	NA	NA	NA
SP99221	1.05077259328967	0.680026258767165	64	0	1.22042858491457	0.980929029628618	-0.239499555285952	29	35	2394	957	1437	NA	NA	NA	NA
SP99305	1.04560132658405	0.636501092625252	147	0	1.31099195710456	0.911497166716373	-0.399494790388187	72	75	5591	2238	3353	NA	NA	NA	NA
SP117712	0.976496915714716	1	269	0	1.18636833977044	0.876806784849958	-0.309561554920482	130	139	16305	6664	9641	NA	NA	NA	NA
SP99241	0.900442252429713	1	407	0	0.982298126601445	0.887981894251409	-0.0943162323500359	174	233	26220	10567	15653	NA	NA	NA	NA
SP99185	0.89847602385035	1	233	0	1.01126257263874	0.859289865392539	-0.151972707246201	105	128	13225	5432	7793	NA	NA	NA	NA
SP99333	0.860019754170325	1	84	0	0.851411731153151	0.90172451289156	0.0503127817384089	34	50	3750	1570	2180	NA	NA	NA	NA
SP99337	0.850317345116372	1	111	0	0.940271432288397	0.827136533255286	-0.113134899033111	48	63	5779	2319	3460	NA	NA	NA	NA
SP99317	0.847741837069123	1	47	0	0.858434817479864	0.877350866882163	0.018916049402299	19	28	2249	921	1328	NA	NA	NA	NA
SP99209	0.846230289170431	1	234	0	1.01348273374922	0.766713971222425	-0.246768762526795	112	122	14832	6079	8753	NA	NA	NA	NA
SP99341	0.844264181886876	1	118	0	1.08708520897461	0.721473591606468	-0.365611617368142	59	59	5565	2220	3345	NA	NA	NA	NA
SP117556	0.834574451787699	1	167	0	0.949892614586994	0.796875827100173	-0.153016787486821	74	93	7157	2865	4292	NA	NA	NA	NA
SP99113	0.819169846224997	1	70	0	0.84194890077243	0.839703703703704	-0.00224519706872606	28	42	3746	1496	2250	NA	NA	NA	NA
SP99321	0.761467992171812	1	120	0	0.974848408740268	0.653692123629985	-0.321156285110283	60	60	5152	2068	3084	NA	NA	NA	NA
SP99225	0.735492470674004	1	93	0	0.912774186259125	0.645002282378996	-0.267771903880129	46	47	4997	2043	2954	NA	NA	NA	NA
SP99287	0.733395035114565	1	85	0	0.686163755728973	0.79596330613502	0.109799550406047	32	53	5244	2160	3084	NA	NA	NA	NA
SP117017	0.633882416646201	1	221	0	0.752742033388542	0.583043382341009	-0.169698651047533	103	118	9537	3847	5690	NA	NA	NA	NA
SP99325	0.461929083037402	1	3063	0	0.611835964248436	0.382581801655371	-0.229254162593065	1586	1477	284126	114138	169988	NA	NA	NA	NA
SP99301	0.225553513090954	1	104	0	0.300179760021013	0.18313123363649	-0.117048526384523	56	48	13504	5615	7889	NA	NA	NA	NA
SP1781	4.17654036722479	0	13829	10518	3.0507513562451	5.00270330692498	1.95195195067988	3669	10160	65499	24361	41138	1.79725195453269e-194	3.95395429997193e-193	4	A3A
SP963	3.99927187095424	0	11521	8640	3.06584393136715	4.70052902063895	1.6346850892718	3215	8306	58357	21734	36623	2.87363919702214e-122	2.10733541114957e-121	4	A3A
SP1677	3.90968887127604	0	9352	6960	3.00023272137424	4.61994724184538	1.61971452047114	2647	6705	51244	19374	31870	1.36932950496547e-100	7.53131227731011e-100	4	A3A
SP96136	3.86057827945529	0	14101	10448	2.97019785794881	4.55976600175146	1.58956814380265	4033	10068	85557	32579	52978	1.82762122059774e-146	2.01038334265751e-145	4	A3A
SP1712	3.81517628724267	0	2947	2175	2.83208242889559	4.55399845121931	1.72191602232372	799	2148	16456	6159	10297	1.46012789437477e-38	2.92025578874954e-38	4	A3A
SP1724	3.79729216404239	0	4079	3005	2.71390064410813	4.59724846568576	1.88334782157763	1075	3004	23126	8728	14398	7.3394748378452e-64	2.01835558040743e-63	3	A3A
SP1003	3.69706062689255	0	6591	4808	2.70377238488495	4.45467868560833	1.75090630072338	1784	4807	41234	15646	25588	4.20495307687863e-91	1.32155668130471e-90	3	A3A
SP953	3.63383850157186	0	8307	6021	2.72531195904685	4.33092291874733	1.60561095970048	2299	6008	55764	21087	34677	3.35720093034905e-98	1.47716840935358e-97	3	A3A
SP1431	3.54471620617567	0	2336	1677	2.46117008984243	4.3509189488785	1.88974885903607	602	1734	14748	5609	9139	4.67080017935912e-42	1.02757603945901e-41	3	A3A
SP1059	3.40812000228303	0	10424	7365	2.67978366534998	4.01224473383566	1.33246106848568	3115	7309	93732	36512	57220	6.48898756202387e-93	2.37929543940875e-92	3	A3A
SP1144	3.36927108683612	0	4816	3387	2.56945323917077	4.01426761713121	1.44481437796044	1378	3438	32345	12455	19890	1.90438646477385e-54	4.65516691389164e-54	2	A3A
SP1377	3.27590520170293	0	2292	1592	2.49361113208022	3.88873044167162	1.3951193095914	641	1651	16212	6114	10098	4.23313454552921e-26	7.16376615397251e-26	2	A3A
SP1009	3.17457474859446	0	2538	1739	2.41878610376775	3.77883721273022	1.36005110896247	719	1819	21243	8110	13133	1.69893272928024e-28	3.11471000368044e-28	2	A3A
SP1174	2.73019883543166	0	2006	1271	2.26451976266416	3.14260302474568	0.87808326208152	629	1377	20553	7974	12579	3.53315753834458e-13	5.55210470311292e-13	2	A3A
SP1086	2.53339682932178	4.52876983228176e-312	1984	1201	2.12552999841378	2.9108377217363	0.78530772332252	639	1345	23320	9192	14128	4.25773466469593e-12	5.8543851639569e-12	2	A3A
SP1491	2.53310031509258	2.58802400729078e-233	1483	898	2.1397713540126	2.90355985028452	0.76378849627192	481	1002	18124	7149	10975	6.48285925941044e-09	7.92349465039054e-09	1	A3A
SP1419	2.28595962912252	1.62133899234127e-193	1515	852	1.92413269931373	2.62704004940071	0.70290735008698	489	1026	19183	7562	11621	2.22325340524503e-09	2.87715146561122e-09	1	A3A
SP1365	2.15482656621353	6.77200635233902e-112	994	533	1.90338128558634	2.41991076309271	0.51652947750637	335	659	14387	5648	8739	0.000185210135974468	0.000214453841654648	1	A3A
SP1114	1.9157376134106	8.58251148502659e-85	1008	482	1.45197106413151	2.30092717173417	0.84895610760266	293	715	18427	7255	11172	2.79484604554027e-12	4.09910753345906e-12	1	A3A
SP1305	1.43714153299588	6.13380686528336e-53	1833	558	1.59212443676806	1.39786158926171	-0.19426284750635	805	1028	54146	22060	32086	0.00502813926357232	0.00553095318992955	1	A3B
SP975	1.57150346728979	2.80194541063477e-55	1276	464	1.54561068709032	1.66292304216571	0.11731235507539	500	776	29083	11907	17176	0.200217195405829	0.209751347568012	ND	ND
SP1132	1.42205724275672	3.06527581595311e-29	1047	311	1.52182540242305	1.4194529167684	-0.10237248565465	440	607	27676	11164	16512	0.261116781553139	0.261116781553139	ND	ND
SP967	0.976833460064245	0.627045994842658	145	0	1.06469460448458	0.962166873885075	-0.102527730599505	63	82	4822	1976	2846	NA	NA	NA	NA
SP121861	1.96761073804261	5.55707631074171e-09	87	43	2.84660806133199	1.45470607475064	-1.39190198658135	50	37	1131	462	669	0.00137633741643133	0.00202402561239902	4	A3B
SP121828	1.90156714502704	7.1953928621176e-33	399	189	2.45421218264817	1.60972271894591	-0.84448946370226	206	193	6224	2563	3661	1.52828051995706e-05	3.82070129989264e-05	4	A3B
SP121811	1.86931771301558	3.23613349733136e-27	346	161	2.46117815234669	1.54632491448239	-0.9148532378643	182	164	5236	2151	3085	9.5193819435958e-06	2.97480685737369e-05	4	A3B
SP121852	1.85293664209365	1.07489910443279e-37	499	230	2.41300078071347	1.54620420907779	-0.86679657163568	258	241	8671	3528	5143	3.62043600574848e-07	2.2627725035928e-06	4	A3B
SP122361	1.71607174346857	6.23144117131287e-45	762	318	2.31595772006948	1.37237007100844	-0.94358764906104	411	351	14386	5893	8493	1.54765212625734e-13	3.86913031564335e-12	4	A3B
SP121763	1.7079320199966	4.69659441086068e-18	296	123	2.254176557127	1.42325798737065	-0.83091856975635	152	144	5486	2194	3292	5.35339028253049e-05	0.000111528964219385	3	A3B
SP121808	1.67397487735596	5.20845032410133e-10	162	65	2.47769726436191	1.17749172510209	-1.30020553925982	97	65	2880	1195	1685	1.52617195670333e-06	6.35904981959722e-06	3	A3B
SP121837	1.62110454583091	1.538455485833e-11	216	83	1.93573290773588	1.47237280059204	-0.46336010714384	103	113	3876	1587	2289	0.0391566560811461	0.0444962000922114	3	A3B
SP121831	1.59660608762879	2.00672894837628e-14	294	110	2.06515240963855	1.35027641635307	-0.71487599328548	151	143	6121	2500	3621	0.000200939614008553	0.000334899356680922	3	A3B
SP121847	1.5316484797373	2.89703164766076e-16	401	139	2.17036340274286	1.14637141148264	-1.02399199126022	229	172	9269	3827	5442	9.08930570490677e-11	1.13616321311335e-09	3	A3B
SP121783	1.53128665417051	9.64280813966561e-14	329	114	2.10681409000034	1.21650945877507	-0.89030463122527	176	153	7702	3074	4628	4.77218582699773e-07	2.38609291349887e-06	3	A3B
SP122476	1.50868497677237	7.70401823032374e-15	387	130	1.96796888825189	1.26871862665497	-0.69925026159692	198	189	9610	3874	5736	1.07942881040641e-05	2.99841336224003e-05	2	A3B
SP121865	1.44725920431235	4.78805741507496e-08	229	71	1.87381997911832	1.22683743172779	-0.64698254739053	117	112	5877	2387	3490	0.00121745295623971	0.00190227024412455	2	A3B
SP121824	1.42198059926896	8.0928200034902e-06	170	50	1.81341274148036	1.22226021948531	-0.59115252199505	87	83	3285	1360	1925	0.0083427789876728	0.010428473734591	2	A3B
SP121774	1.35967838294397	3.67823446641197e-12	534	141	1.69362852094377	1.19793710780385	-0.49569141313992	260	274	14566	5850	8716	5.02636884121389e-05	0.000111528964219385	2	A3B
SP121841	1.30870632586639	0.000226177438121995	188	44	1.80703830942002	1.03134735487863	-0.77569095454139	102	86	5123	2068	3055	0.00010320635264146	0.000198473755079731	2	A3B
SP121870	1.21717433423089	0.0020326295666426	233	42	1.52236003445306	1.05765385408535	-0.46470618036771	116	117	7907	3225	4682	0.00543785663217511	0.00715507451601988	1	A3B
SP121816	1.2169765502648	0.00200723447458732	237	42	1.62946797637418	0.997216212131027	-0.632251764243153	125	112	7237	2937	4300	0.000154671898315547	0.00027619981842062	1	A3B
SP121781	1.21274903448851	1.44602587814821e-05	499	88	1.55782672920297	1.04448655598179	-0.51334017322118	248	251	16874	6724	10150	6.38994011434938e-06	2.28212146941049e-05	1	A3B
SP121859	1.1855198009927	0.00732386990082416	224	35	1.44335438035281	1.06155406383494	-0.38180031651787	108	116	7824	3180	4644	0.0225642708125911	0.0268622271578465	1	A3B
SP122702	1.18050906800805	0.00251196934707507	307	47	1.46152837707412	1.03934341890869	-0.42218495816543	150	157	11274	4561	6713	0.00261283422035135	0.00362893641715465	1	A3B
SP122392	1.16937406442719	0.000172240828867109	555	80	1.55654249098311	0.958329378358783	-0.598213112624327	291	264	20273	8196	12077	7.91650282995403e-09	6.59708569162836e-08	1	A3B
SP121790	1.62473420853711	2.4583352947382e-19	379	146	1.84759265708507	1.54010419646728	-0.30748846061779	171	208	8927	3630	5297	0.077735818693885	0.0844954551020489	ND	ND
SP122412	1.57165588976034	1.00092140566724e-10	222	81	1.84204307670653	1.46201852122764	-0.38002455547889	103	119	5260	2142	3118	0.0812761093580623	0.0846626139146482	ND	ND
SP122676	1.25346318903815	3.3235878690611e-08	602	122	1.3919104245734	1.21744626745518	-0.17446415711822	259	343	18627	7409	11218	0.0989418043330874	0.0989418043330874	ND	ND
SP122634	1.10151833312701	0.0741075520089715	266	0	1.36251816454759	0.971228251088055	-0.391289913459535	130	136	8881	3599	5282	NA	NA	NA	NA
SP122489	1.05897579565296	0.275730480936031	175	0	1.15527144204175	1.03868899811445	-0.1165824439273	74	101	6066	2409	3657	NA	NA	NA	NA
SP121761	1.05126631530208	0.255917051348931	275	0	1.45428817427958	0.831996061143598	-0.622292113135982	149	126	11786	4756	7030	NA	NA	NA	NA
SP123010	0.970425373977165	0.74976036663088	153	0	1.40071071626874	0.723462981729923	-0.677247734538817	86	67	5393	2150	3243	NA	NA	NA	NA
SP122560	0.969286395825644	0.74976036663088	125	0	1.45874390511578	0.690046591530232	-0.768697313585548	73	52	5142	2052	3090	NA	NA	NA	NA
SP122725	0.899495564048513	0.98818588269063	170	0	1.00613763510945	0.865261902554981	-0.140875732554469	74	96	6482	2584	3898	NA	NA	NA	NA
SP122714	0.840805147746978	0.98818588269063	74	0	0.944653148362105	0.809188502943331	-0.135464645418774	32	42	3497	1381	2116	NA	NA	NA	NA
SP122372	0.821253076955211	0.98818588269063	65	0	0.903942629658474	0.806213945322298	-0.0977286843361761	28	37	2834	1142	1692	NA	NA	NA	NA
SP122590	0.543633621159456	0.999999999539898	76	0	0.606245925272949	0.523866524295	-0.0823794009779489	34	42	5690	2342	3348	NA	NA	NA	NA
SP116481	2.26485648750852	2.74598963148646e-49	392	219	3.01818542874382	1.83660399047541	-1.18158143826841	212	180	5502	2297	3205	3.95917468535901e-07	1.5836698741436e-06	4	A3B
SP116478	2.14796567665865	2.08262109098409e-48	433	231	3.01335843657349	1.6707561843166	-1.34260225225689	237	196	6655	2671	3984	2.51450582436587e-10	3.01740698923904e-09	4	A3B
SP116520	1.76024077858067	2.83165693172226e-28	426	184	2.25357326868987	1.5114637852866	-0.74210948340327	212	214	9419	3760	5659	3.12801836819014e-05	9.38405510457041e-05	4	A3B
SP116459	1.71886273864843	1.68212405719562e-23	381	159	2.33532529512851	1.37316955707362	-0.96215573805489	206	175	8762	3584	5178	1.52286386737138e-07	7.30974656338262e-07	4	A3B
SP116593	1.66010460630933	5.58162381073766e-14	247	98	2.25227975100109	1.33328231758608	-0.91899743341501	133	114	5432	2219	3213	2.76160203862646e-05	9.38405510457041e-05	3	A3B
SP116525	1.57169991649634	6.68644845721975e-15	332	121	1.95429563749414	1.37737288877736	-0.57692274871678	166	166	6901	2853	4048	0.00111968912991347	0.00206711839368641	3	A3B
SP116518	1.56702351247771	3.54431814342854e-32	749	271	2.15895159404037	1.22851679813006	-0.93043479591031	409	340	21299	8655	12644	5.54995277314859e-15	1.33198866555566e-13	3	A3B
SP116487	1.47098924318095	0.000168679036193186	106	34	2.22836474908201	1.02061074972074	-1.20775399936127	63	43	2677	1075	1602	4.64552464215605e-05	0.000106759926375518	3	A3B
